"Type","Date","Name / Number","Sender","Content"
"Received","Oct 15, 2025 11:13:11 AM","888","888","Quy khach da huy goi D6V thanh cong. Moi Quy khach tham khao cac goi cuoc SIEU UU DAI tren ung dung MyVNPT https://my.vnpt.com.vn/adv/muagoicuoc . CSKH: 18001091(0d)."
"Sent","Oct 15, 2025 11:12:48 AM","888","","HUY D6V Y"
"Received","Oct 15, 2025 7:59:48 AM","888","888","Quy khach da gia han thanh cong goi D6V(6.000d/24h) voi UU DAI: 2GB+ MyTV addon VTVcab. Het dung luong ngung truy cap. Goi duoc gia han tu dong. HSD: 07:59 16/10/2025. Tra cuu chi tiet goi tai https://my.vnpt.com.vn/adv/dungluong. LH 18001091(0d)"
"Received","Oct 14, 2025 3:15:09 PM","888","888","Dung luong Data mien phi con lai: 1890 MB su dung den 07:59 ngay 15/10/2025. QK tra cuu chi tiet dung luong con lai va cac UU DAI tren My VNPT tai https://my.vnpt.com.vn/adv/dungluong. CSKH 18001091 (0d)."
"Sent","Oct 14, 2025 3:15:06 PM","888","","DATAKM"
"Received","Oct 14, 2025 3:13:47 PM","MyVNPT","MyVNPT","525835 la ma xac thuc OTP tren MyVNPT cua Quy khach. Ma co hieu luc trong 2 phut. De dam bao an toan, Quy khach vui long khong chia se ma nay voi bat ky ai."
"Received","Oct 14, 2025 10:15:43 AM","NAPTHE-VNP","NAPTHE-VNP","(TB) Đừng bỏ quên ưu đãi VinaPhone dành riêng cho Quý khách nhận được tin nhắn và nạp thẻ trong HÔM NAY 14/10/2025, có ngay: + 20% giá trị thẻ nạp. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. + Thêm ưu đãi hời khi nạp tại https://my.vnpt.com.vn/adv/napthe . CSKH: 18001091 (0đ)."
"Received","Oct 14, 2025 7:59:34 AM","888","888","QK da dang ky thanh cong goi D6V (6.000d/24h) voi UU DAI: 2GB+ MyTV addon VTVcab. Het dung luong ngung truy cap. Goi duoc gia han tu dong. Tra cuu chi tiet goi tren My VNPT https://my.vnpt.com.vn/adv/dungluong . CSKH 18001091(0d)."
"Sent","Oct 14, 2025 7:59:09 AM","888","","D6V"
"Received","Oct 13, 2025 1:38:35 PM","NAPTHE-VNP","NAPTHE-VNP","(TB) Nạp liền tay – Nhận ngay quà tặng! VinaPhone dành riêng cho Quý khách nhận được tin nhắn:
+ 20% giá trị thẻ nạp trong NGÀY MAI 14/10/2025. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. 
+ Thêm ưu đãi hời khi nạp tại https://my.vnpt.com.vn/adv/napthe .
CSKH: 18001091 (0đ)."
"Received","Oct 9, 2025 2:42:02 PM","NAPTHE-VNP","NAPTHE-VNP","(TB) Ưu đãi nạp thẻ – Trọn vẹn niềm vui! Chỉ cần nạp thẻ vào NGÀY MAI 10/10/2025, Quý khách sẽ được tặng ngay 20% giá trị thẻ nạp. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. Thêm ưu đãi khi nạp tại: https://my.vnpt.com.vn/adv/napthe . CSKH: 18001091 (0đ).
"
"Received","Oct 7, 2025 9:21:23 AM","NAPTHE-VNP","NAPTHE-VNP","(TB) Dành riêng cho Quý khách nhận được tin nhắn: Đừng quên Nạp thẻ để nhận ngay ưu đãi 20% trong HÔM NAY 07/10/2025. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. Thêm ưu đãi hời khi nạp tại https://my.vnpt.com.vn/adv/napthe . CSKH: 18001091 (0đ)."
